Scan	  Chan 1	

1	5.59052	
2	5.59296	
3	5.70709	
4	5.63599	
5	5.65308	
6	5.59631	
7	5.6012	
8	5.66467	
9	5.6311	
10	5.68909	
11	5.59265	
12	5.58868	
13	5.6842	
14	5.63232	
15	5.65918	
16	5.58563	
17	5.6012	
18	5.68726	
19	5.62714	
20	5.66772	
21	5.59692	
22	5.59418	
23	5.66925	
24	5.63477	
25	5.67871	
26	5.58472	
27	5.59845	
28	5.70282	
29	5.62958	
30	5.65247	
31	5.59937	
32	5.60608	
33	5.66528	
34	5.6308	
35	5.68909	
36	5.58624	
37	5.5896	
38	5.6781	
39	5.63324	
40	5.65887	
41	5.58838	
42	5.61218	
43	5.69519	
44	5.62836	
45	5.66254	
46	5.59357	
47	5.59631	
48	5.66345	
49	5.63477	
50	5.6781	
51	5.58533	
52	5.60211	
53	5.70374	
54	5.6308	
55	5.65216	
56	5.58868	
57	5.60974	
58	5.67078	
59	5.63019	
60	5.68726	
61	5.59235	
62	5.59509	
63	5.6778	
64	5.63934	
65	5.66162	
66	5.58167	
67	5.61646	
68	5.70251	
69	5.62714	
70	5.66254	
71	5.58838	
72	5.60516	
73	5.67383	
74	5.63202	
75	5.68054	
76	5.58228	
77	5.60486	
78	5.71564	
79	5.6311	
80	5.65277	
81	5.5896	
82	5.61859	
83	5.66864	
84	5.62347	
85	5.69031	
86	5.59082	
87	5.59998	
88	5.68024	
89	5.63293	
90	5.6665	
91	5.58197	
92	5.62134	
93	5.70251	
94	5.62592	
95	5.67108	
96	5.59235	
97	5.61035	
98	5.67169	
99	5.63477	
100	5.68359	
101	5.57983	
102	5.61279	
103	5.70557	
104	5.6308	
105	5.6546	
106	5.58624	
107	5.62286	
108	5.67444	
109	5.625	
110	5.68848	
111	5.59509	
112	5.61066	
113	5.68604	
114	5.63477	
115	5.66864	
116	5.58655	
117	5.62622	
118	5.70099	
119	5.62439	
120	5.65948	
121	5.59296	
122	5.62134	
123	5.67322	
124	5.62958	
125	5.68268	
126	5.58411	
127	5.61493	
128	5.70801	
129	5.63202	
130	5.65247	
131	5.59113	
132	5.63171	
133	5.68665	
134	5.62805	
135	5.68604	
136	5.58868	
