Scan	  Chan 1	

1	5.61249	
2	5.56305	
3	5.66223	
4	5.63477	
5	5.55664	
6	5.6015	
7	5.57617	
8	5.65369	
9	5.62195	
10	5.56	
11	5.62805	
12	5.56702	
13	5.65216	
14	5.64789	
15	5.55969	
16	5.59326	
17	5.57587	
18	5.66284	
19	5.625	
20	5.56366	
21	5.62775	
22	5.57404	
23	5.62866	
24	5.63141	
25	5.56091	
26	5.61188	
27	5.56549	
28	5.65613	
29	5.63202	
30	5.55756	
31	5.59998	
32	5.57404	
33	5.65521	
34	5.62225	
35	5.56244	
36	5.62592	
37	5.578	
38	5.64056	
39	5.64545	
40	5.55908	
41	5.58685	
42	5.57098	
43	5.67474	
44	5.63263	
45	5.5545	
46	5.62347	
47	5.57648	
48	5.63934	
49	5.62897	
50	5.56519	
51	5.61676	
52	5.56763	
53	5.63721	
54	5.63904	
55	5.55328	
56	5.6076	
57	5.57831	
58	5.65735	
59	5.6192	
60	5.55817	
61	5.63293	
62	5.56702	
63	5.63934	
64	5.63599	
65	5.55908	
66	5.59326	
67	5.57251	
68	5.66864	
69	5.63385	
70	5.55481	
71	5.62408	
72	5.57465	
73	5.63385	
74	5.62897	
75	5.56366	
76	5.60913	
77	5.5661	
78	5.65094	
79	5.63507	
80	5.55145	
81	5.60059	
82	5.57434	
83	5.66101	
84	5.61707	
85	5.56152	
86	5.62378	
87	5.56885	
88	5.63477	
89	5.63782	
90	5.55847	
91	5.58685	
92	5.57159	
93	5.66528	
94	5.62714	
95	5.55145	
96	5.6189	
97	5.57404	
98	5.63293	
99	5.62653	
100	5.56427	
101	5.61249	
102	5.5658	
103	5.6543	
104	5.64209	
105	5.55969	
106	5.59998	
107	5.578	
108	5.65491	
109	5.62012	
110	5.5542	
111	5.62134	
112	5.57129	
113	5.63873	
114	5.64087	
115	5.56091	
116	5.59357	
117	5.56854	
118	5.66742	
119	5.62531	
120	5.55054	
121	5.61523	
122	5.57526	
123	5.62897	
124	5.62653	
125	5.56519	
126	5.61493	
127	5.56305	
128	5.65308	
129	5.6369	
130	5.55206	
131	5.61035	
132	5.5777	
133	5.65613	
134	5.6192	
135	5.55511	
136	5.6311	
137	5.5661	
138	5.64178	
139	5.63782	
140	5.55817	
141	5.58868	
142	5.56885	
143	5.66498	
144	5.62805	
145	5.55756	
146	5.61096	
147	5.57404	
148	5.6369	
149	5.62103	
150	5.55756	
151	5.61371	
152	5.56549	
153	5.6488	
154	5.63629	
155	5.55115	
156	5.5954	
157	5.57373	
158	5.65704	
159	5.61981	
160	5.56488	
161	5.6308	
162	5.56946	
163	5.63568	
164	5.63782	
165	5.56274	
166	5.59998	
167	5.56946	
168	5.67413	
169	5.62897	
170	5.55054	
171	5.62317	
172	5.57556	
173	5.63538	
174	5.62042	
175	5.56335	
176	5.61829	
177	5.56732	
178	5.64636	
179	5.63354	
180	5.5542	
181	5.59937	
182	5.57434	
183	5.6601	
184	5.61676	
185	5.55664	
186	5.62866	
187	5.56458	
188	5.63538	
189	5.6366	
190	5.55908	
191	5.59143	
192	5.56854	
193	5.66711	
194	5.62866	
195	5.5481	
196	5.60822	
197	5.57526	
198	5.63873	
199	5.62073	
200	5.56274	
201	5.61371	
202	5.56885	
203	5.65186	
204	5.63568	
205	5.55237	
206	5.59753	
207	5.57526	
208	5.66528	
209	5.61371	
210	5.55878	
211	5.62897	
212	5.57312	
213	5.63538	
214	5.63019	
215	5.55756	
216	5.58105	
217	5.5661	
218	5.67047	
219	5.62347	
220	5.54901	
221	5.60852	
222	5.57159	
223	5.64484	
224	5.61951	
225	5.55481	
226	5.6192	
227	5.56885	
228	5.64667	
229	5.63232	
230	5.55573	
231	5.59265	
232	5.57434	
233	5.65918	
234	5.61371	
235	5.55206	
236	5.63293	
237	5.57404	
238	5.65186	
239	5.63324	
240	5.55511	
241	5.59906	
242	5.56885	
243	5.66406	
244	5.62927	
245	5.5484	
246	5.60852	
247	5.57831	
248	5.64087	
249	5.61859	
250	5.55695	
251	5.61432	
252	5.56488	
253	5.64728	
254	5.62622	
255	5.55084	
256	5.60089	
257	5.5719	
258	5.65796	
259	5.61493	
260	5.55328	
261	5.63202	
262	5.57434	
263	5.6366	
264	5.62622	
265	5.55939	
266	5.59753	
267	5.56763	
268	5.66833	
269	5.62592	
270	5.54718	
271	5.60333	
272	5.57251	
273	5.64667	
274	5.61249	
275	5.55969	
276	5.60974	
277	5.56488	
278	5.63171	
279	5.63202	
280	5.55328	
281	5.59113	
282	5.57404	
283	5.65582	
284	5.6134	
285	5.54901	
286	5.63324	
287	5.57037	
288	5.63751	
289	5.62622	
290	5.55969	
291	5.5957	
292	5.56885	
293	5.66772	
294	5.63599	
295	5.54626	
296	5.60303	
297	5.57373	
298	5.65521	
299	5.61707	
300	5.55634	
301	5.62195	
302	5.56335	
303	5.64941	
304	5.62866	
305	5.55634	
306	5.59357	
307	5.57434	
308	5.66162	
309	5.61829	
310	5.54199	
311	5.63263	
312	5.57007	
313	5.62927	
314	5.62195	
315	5.55634	
316	5.60364	
317	5.56702	
318	5.66925	
319	5.62286	
320	5.55054	
321	5.60699	
322	5.57556	
323	5.64911	
324	5.61523	
325	5.55969	
326	5.62286	
327	5.56274	
328	5.64575	
329	5.62927	
330	5.55481	
331	5.59357	
332	5.5722	
333	5.66528	
334	5.61218	
335	5.55542	
336	5.63751	
337	5.56885	
338	5.63324	
339	5.62073	
340	5.55573	
341	5.60242	
342	5.5661	
343	5.66345	
344	5.62347	
345	5.5484	
346	5.5954	
347	5.5722	
348	5.64941	
349	5.61005	
350	5.55145	
351	5.62134	
352	5.56488	
353	5.64117	
354	5.63324	
355	5.55542	
356	5.59326	
357	5.57343	
358	5.66193	
