Scan	  Chan 1	

1	8.92395	
2	8.90839	
3	8.8913	
4	8.92456	
5	8.91449	
6	8.92059	
7	8.90594	
8	8.89862	
9	8.92761	
10	8.90228	
11	8.91418	
12	8.91052	
13	8.89862	
14	8.9035	
15	8.91296	
16	8.93005	
17	8.90991	
18	8.88977	
19	8.93311	
20	8.90137	
21	8.8916	
22	8.9035	
23	8.91479	
24	8.92334	
25	8.90198	
26	8.93463	
27	8.90625	
28	8.89954	
29	8.91205	
30	8.91907	
31	8.92273	
32	8.89984	
33	8.91754	
34	8.92578	
35	8.90289	
36	8.90747	
37	8.91022	
38	8.90381	
39	8.89893	
40	8.91174	
41	8.94104	
42	8.90442	
43	8.89771	
44	8.9386	
45	8.92059	
46	8.90869	
47	8.90747	
48	8.92426	
49	8.92212	
50	8.90289	
51	8.93463	
52	8.92059	
53	8.90076	
54	8.91479	
55	8.92395	
56	8.9328	
57	8.90503	
58	8.91724	
59	8.94196	
60	8.91174	
61	8.91327	
62	8.91541	
63	8.91937	
64	8.90717	
65	8.92395	
66	8.9444	
67	8.91937	
68	8.90259	
69	8.9566	
70	8.91724	
71	8.91266	
72	8.91571	
73	8.91785	
74	8.93097	
75	8.91113	
76	8.95813	
77	8.93005	
78	8.89862	
79	8.92944	
80	8.92029	
81	8.93616	
82	8.91785	
83	8.92578	
84	8.95325	
85	8.91144	
86	8.92578	
87	8.92761	
88	8.9212	
89	8.91541	
90	8.92212	
91	8.94287	
92	8.91205	
93	8.92273	
94	8.95966	
95	8.92151	
96	8.91479	
97	8.91541	
98	8.93188	
99	8.93738	
100	8.92181	
101	8.95172	
102	8.92303	
103	8.92303	
104	8.93585	
105	8.93341	
106	8.94165	
107	8.92548	
108	8.93341	
109	8.95142	
110	8.92609	
111	8.94196	
112	8.93188	
113	8.93097	
114	8.92792	
115	8.93341	
116	8.95447	
117	8.92059	
118	8.92334	
119	8.95264	
120	8.92609	
121	8.92365	
122	8.93402	
123	8.94684	
124	8.93738	
125	8.92822	
126	8.96942	
127	8.93097	
