Scan	  Chan 1	

1	-3.68805	
2	-4.00604	
3	-3.96912	
4	-3.90503	
5	-4.02435	
6	-4.06799	
7	-3.99384	
8	-3.99109	
9	-4.10919	
10	-3.9444	
11	-3.62549	
12	-4.09271	
13	-3.87939	
14	-4.08447	
15	-3.64777	
16	-4.02161	
17	-4.01123	
18	-4.09332	
19	-3.86322	
20	-3.72559	
21	-3.76007	
22	-4.08569	
23	-4.07959	
24	-4.11438	
25	-4.07501	
26	-4.01428	
27	-3.83148	
28	-3.95782	
29	-4.09607	
30	-4.0918	
31	-3.83698	
32	-4.0509	
33	-4.11621	
34	-4.00604	
35	-4.00726	
36	-4.09912	
37	-4.13971	
38	-3.92731	
39	-3.81256	
40	-3.9743	
41	-4.10583	
42	-4.08844	
43	-3.97552	
44	-3.8559	
45	-4.11163	
46	-4.07135	
47	-3.91571	
48	-3.96912	
49	-4.0274	
50	-4.10461	
51	-4.06921	
52	-4.05701	
53	-4.03503	
54	-4.02527	
55	-4.10797	
56	-3.93738	
57	-4.05884	
58	-4.06647	
59	-4.05121	
60	-4.09119	
61	-3.91205	
62	-4.05426	
63	-3.95874	
64	-3.98041	
65	-4.11102	
66	-3.34503	
67	-3.97888	
68	-3.79883	
69	-4.19678	
70	-4.07196	
71	-3.93677	
72	-4.01398	
73	-4.12598	
74	-4.16351	
75	-4.00574	
76	-4.11713	
77	-3.97247	
78	-4.07776	
79	-4.01642	
80	-3.909	
81	-4.1098	
82	-3.9566	
83	-3.98468	
84	-4.08356	
85	-3.72772	
86	-3.9679	
87	-4.02466	
88	-4.11469	
89	-4.17969	
90	-3.98315	
91	-4.13788	
92	-3.91541	
93	-4.09027	
94	-3.96332	
95	-4.01794	
96	-3.75763	
97	-4.03381	
98	-4.07837	
99	-3.75427	
100	-3.89404	
101	-3.8028	
102	-3.98132	
103	-4.04633	
104	-3.93768	
105	-3.92334	
106	-3.88947	
107	-3.90137	
108	-3.76709	
109	-3.9563	
110	-3.96698	
111	-4.02161	
112	-4.06708	
113	-4.00177	
114	-3.9386	
115	-4.11133	
