Scan	  Chan 1	

1	-5.97321	
2	-5.87463	
3	-5.95337	
4	-5.45349	
5	-5.8493	
6	-5.95001	
7	-6.20422	
8	-5.89417	
9	-5.35706	
10	-6.08887	
11	-6.06934	
12	-5.66406	
13	-5.43884	
14	-5.86456	
15	-5.59692	
16	-5.45441	
17	-5.81512	
18	-5.75439	
19	-5.63934	
20	-6.04034	
21	-6.02936	
22	-5.92712	
23	-5.50018	
24	-5.99548	
25	-6.12885	
26	-5.74951	
27	-5.46997	
28	-5.77454	
29	-6.02112	
30	-5.98938	
31	-5.85602	
32	-5.53101	
33	-5.79315	
34	-5.82855	
35	-5.61401	
36	-5.8725	
37	-5.49255	
38	-5.513	
39	-5.58746	
40	-6.03973	
41	-5.91125	
42	-5.68176	
43	-5.79071	
44	-5.88989	
45	-6.05927	
46	-6.22955	
47	-5.81055	
48	-5.89172	
49	-5.99701	
50	-5.76965	
51	-6.04523	
52	-6.23871	
53	-6.14899	
54	-5.94696	
55	-5.86365	
56	-5.47882	
57	-6.02509	
58	-6.00006	
59	-5.59937	
60	-6.11572	
61	-5.78552	
62	-6.27502	
63	-6.02081	
64	-6.06262	
65	-6.09894	
66	-5.79651	
67	-5.94574	
68	-5.49774	
69	-6.1438	
70	-6.06903	
71	-5.98114	
72	-5.94696	
73	-6.03394	
74	-6.14594	
75	-6.1441	
76	-6.1142	
77	-5.96191	
78	-6.3385	
79	-5.77393	
80	-5.68573	
81	-5.61401	
82	-6.02509	
83	-6.1145	
84	-6.18286	
85	-6.08643	
86	-5.5835	
87	-5.98236	
88	-6.09528	
89	-5.69946	
90	-6.06628	
91	-6.05652	
92	-5.95154	
93	-6.16913	
94	-6.2146	
95	-6.21735	
96	-6.02234	
97	-6.03882	
98	-6.0495	
99	-5.17822	
100	-5.98541	
101	-6.05499	
102	-5.90363	
103	-5.82306	
104	-5.59296	
105	-6.2204	
106	-6.0733	
107	-5.48157	
108	-6.19568	
109	-6.18195	
110	-6.25519	
111	-6.13678	
112	-5.78949	
113	-5.92865	
114	-5.88837	
115	-5.49133	
116	-6.06232	
117	-5.36896	
118	-5.87402	
119	-5.44739	
120	-6.15326	
121	-6.04156	
122	-6.11664	
123	-6.05225	
124	-6.073	
125	-5.91736	
126	-5.87891	
127	-5.94055	
128	-6.14899	
129	-6.10077	
130	-6.01166	
131	-5.88806	
132	-5.93384	
133	-5.95673	
134	-5.86884	
135	-5.95184	
136	-5.94147	
137	-6.01196	
138	-5.66376	
139	-5.66742	
140	-6.09985	
141	-5.78796	
142	-5.71564	
143	-6.07788	
144	-6.04614	
145	-5.49957	
146	-5.95215	
147	-5.74768	
148	-6.10046	
149	-6.02844	
150	-6.11603	
151	-5.46448	
152	-6.15448	
153	-5.72693	
154	-5.95276	
155	-5.85785	
156	-6.11389	
157	-5.7312	
158	-5.97137	
159	-6.05499	
160	-6.1731	
161	-5.48645	
162	-5.8136	
163	-5.97565	
164	-5.92072	
165	-5.97015	
166	-5.8667	
167	-6.10718	
168	-6.05682	
169	-5.96832	
170	-5.82611	
171	-5.7663	
172	-6.07605	
173	-6.2265	
174	-5.72327	
175	-6.32568	
176	-6.09528	
177	-6.19019	
178	-6.073	
179	-6.19568	
180	-5.9613	
181	-5.98633	
182	-5.96832	
183	-5.83893	
184	-5.91888	
185	-5.99396	
186	-5.9726	
187	-5.87189	
188	-6.15936	
189	-5.77698	
190	-5.83008	
191	-6.07361	
192	-5.75165	
193	-6.1203	
194	-5.81482	
195	-5.77515	
196	-5.29694	
197	-6.01532	
198	-5.81299	
199	-5.54901	
200	-5.99426	
201	-6.13495	
202	-5.38269	
203	-6.01288	
204	-5.54199	
205	-5.71381	
206	-5.77515	
207	-5.63782	
208	-5.84991	
209	-6.08795	
210	-6.00281	
211	-5.75806	
212	-6.0495	
213	-6.01379	
214	-5.36804	
215	-6.09985	
216	-6.14349	
217	-5.80475	
218	-5.78094	
219	-5.93384	
220	-5.56488	
221	-6.18378	
222	-6.29242	
223	-5.69733	
224	-6.02112	
225	-5.95703	
226	-5.54443	
227	-5.98816	
228	-5.76904	
229	-5.61584	
230	-6.1203	
231	-5.97229	
232	-6.08887	
233	-5.73395	
234	-5.83832	
235	-6.18195	
