Scan	  Chan 1	

1	-4.88281	
2	-4.89502	
3	-4.87915	
4	-4.90265	
5	-4.87091	
6	-4.88953	
7	-4.92615	
8	-4.88281	
9	-4.86816	
10	-4.93774	
11	-4.87213	
12	-4.83978	
13	-4.90295	
14	-4.87885	
15	-4.8703	
16	-4.89319	
17	-4.91058	
18	-4.88708	
19	-4.88525	
20	-4.91058	
21	-4.88373	
22	-4.88403	
23	-4.85291	
24	-4.89319	
25	-4.87213	
26	-4.90479	
27	-4.91821	
28	-4.87366	
29	-4.91089	
30	-4.88983	
31	-4.91852	
32	-4.88708	
33	-4.85931	
34	-4.88953	
35	-4.92371	
36	-4.8996	
37	-4.86176	
38	-4.90143	
39	-4.89777	
40	-4.89258	
41	-4.88525	
42	-4.89838	
43	-4.89716	
44	-4.89136	
45	-4.94385	
46	-4.92065	
47	-4.84955	
48	-4.89807	
49	-4.88037	
50	-4.87946	
51	-4.8761	
52	-4.85413	
53	-4.91699	
54	-4.88831	
55	-4.88098	
56	-4.88159	
57	-4.91028	
58	-4.91211	
59	-4.87518	
60	-4.87579	
61	-4.89868	
62	-4.8999	
63	-4.93805	
64	-4.90509	
65	-4.84436	
66	-4.88647	
67	-4.90173	
68	-4.90631	
69	-4.89777	
70	-4.9057	
71	-4.90082	
72	-4.89655	
73	-4.90295	
74	-4.86115	
75	-4.90662	
76	-4.89227	
77	-4.90387	
78	-4.88678	
79	-4.87732	
80	-4.90479	
81	-4.91791	
82	-4.84344	
83	-4.8703	
84	-4.88373	
85	-4.90112	
86	-4.89319	
87	-4.89136	
88	-4.88708	
89	-4.90479	
90	-4.89777	
91	-4.89197	
92	-4.92737	
93	-4.89166	
94	-4.8111	
95	-4.86633	
96	-4.8703	
97	-4.84711	
98	-4.91089	
99	-4.90143	
100	-4.86877	
