Scan	  Chan 1	

1	5.77301	
2	5.80841	
3	5.78644	
4	5.88562	
5	5.83649	
6	5.76599	
7	5.8429	
8	5.78796	
9	5.84808	
10	5.8371	
11	5.77515	
12	5.82336	
13	5.78278	
14	5.87646	
15	5.84442	
16	5.76355	
17	5.81238	
18	5.79224	
19	5.87616	
20	5.83435	
21	5.77057	
22	5.83862	
23	5.77942	
24	5.85693	
25	5.85083	
26	5.77728	
27	5.80566	
28	5.78827	
29	5.88196	
30	5.83679	
31	5.76904	
32	5.84259	
33	5.78857	
34	5.84839	
35	5.84656	
36	5.77789	
37	5.82794	
38	5.78461	
39	5.87921	
40	5.85205	
41	5.76599	
42	5.82001	
43	5.78979	
44	5.87189	
45	5.83405	
46	5.77423	
47	5.83618	
48	5.78369	
49	5.85693	
50	5.85632	
51	5.77454	
52	5.80566	
53	5.7843	
54	5.87921	
55	5.84473	
56	5.77118	
57	5.83832	
58	5.78583	
59	5.84961	
60	5.84229	
61	5.77728	
62	5.83099	
63	5.78339	
64	5.85175	
65	5.85541	
66	5.76416	
67	5.8139	
68	5.79254	
69	5.87341	
70	5.83466	
71	5.77209	
72	5.83954	
73	5.7843	
74	5.85083	
75	5.85297	
76	5.77332	
77	5.80719	
78	5.78888	
79	5.88287	
80	5.84534	
81	5.76813	
82	5.8371	
83	5.78766	
84	5.85236	
85	5.84534	
86	5.77454	
87	5.83282	
88	5.77789	
89	5.86945	
90	5.85052	
91	5.7724	
92	5.81696	
93	5.79071	
94	5.87463	
95	5.83893	
96	5.77484	
97	5.8432	
98	5.7843	
99	5.85541	
100	5.85541	
101	5.7785	
102	5.80688	
103	5.78278	
104	5.88043	
105	5.84869	
106	5.77515	
107	5.82336	
108	5.78766	
109	5.8493	
110	5.84412	
111	5.77759	
112	5.83221	
113	5.78339	
114	5.86823	
115	5.85815	
116	5.76782	
117	5.81238	
118	5.78918	
119	5.8728	
120	5.83588	
121	5.77271	
122	5.83313	
123	5.78949	
124	5.8548	
125	5.85754	
126	5.77881	
127	5.80048	
128	5.78094	
129	5.88348	
130	5.849	
131	5.76691	
132	5.83221	
133	5.78735	
134	5.85663	
135	5.85297	
136	5.77606	
137	5.82977	
138	5.78033	
139	5.84717	
140	5.85693	
141	5.76874	
142	5.80994	
143	5.78827	
144	5.86914	
145	5.83313	
146	5.77332	
147	5.849	
148	5.7843	
149	5.86334	
150	5.8551	
151	5.77911	
152	5.79895	
153	5.784	
154	5.88226	
155	5.85419	
156	5.77484	
157	5.83466	
158	5.79224	
159	5.85175	
160	5.84564	
161	5.77911	
162	5.83557	
163	5.77911	
164	5.85907	
165	5.85846	
166	5.77057	
167	5.81238	
168	5.79193	
169	5.87311	
170	5.8429	
171	5.77332	
172	5.84442	
173	5.78369	
174	5.83954	
175	5.85693	
176	5.77698	
177	5.80292	
178	5.78339	
179	5.88287	
180	5.8551	
181	5.77454	
182	5.83038	
183	5.78918	
184	5.84961	
185	5.84412	
186	5.7843	
187	5.83038	
188	5.77942	
189	5.85846	
190	5.86182	
191	5.77148	
192	5.81116	
193	5.78735	
194	5.86823	
195	5.83893	
196	5.77118	
197	5.84564	
198	5.78369	
199	5.84717	
