Scan	  Chan 1	

1	5.60516	
2	5.71869	
3	5.64209	
4	5.67902	
5	5.62439	
6	5.60944	
7	5.66254	
8	5.64026	
9	5.71228	
10	5.625	
11	5.59784	
12	5.70099	
13	5.64819	
14	5.67535	
15	5.61981	
16	5.61218	
17	5.69336	
18	5.64301	
19	5.6897	
20	5.62286	
21	5.59875	
22	5.68024	
23	5.65033	
24	5.70038	
25	5.61371	
26	5.60516	
27	5.71198	
28	5.64301	
29	5.6778	
30	5.62592	
31	5.60577	
32	5.67139	
33	5.64301	
34	5.71228	
35	5.61249	
36	5.59784	
37	5.69275	
38	5.65186	
39	5.67566	
40	5.61615	
41	5.61096	
42	5.69885	
43	5.64423	
44	5.69397	
45	5.62408	
46	5.60211	
47	5.67841	
48	5.64728	
49	5.69824	
50	5.61462	
51	5.60425	
52	5.70679	
53	5.64148	
54	5.67566	
55	5.62958	
56	5.61371	
57	5.66711	
58	5.6424	
59	5.70892	
60	5.61157	
61	5.6015	
62	5.70068	
63	5.64789	
64	5.68024	
65	5.62042	
66	5.61096	
67	5.69702	
68	5.64362	
69	5.68756	
70	5.62317	
71	5.60059	
72	5.67261	
73	5.65094	
74	5.69733	
75	5.61371	
76	5.60303	
77	5.70984	
78	5.64819	
79	5.67749	
80	5.62378	
81	5.60608	
82	5.66895	
83	5.64575	
84	5.70862	
85	5.6192	
86	5.6012	
87	5.69275	
88	5.64728	
89	5.67932	
90	5.61554	
91	5.61401	
92	5.69611	
93	5.64484	
94	5.68726	
95	5.62225	
96	5.59906	
97	5.67047	
98	5.64941	
99	5.70129	
100	5.61249	
101	5.60394	
102	5.71106	
103	5.64667	
104	5.67902	
105	5.62408	
106	5.60486	
107	5.66925	
108	5.64453	
109	5.70953	
110	5.62103	
111	5.59998	
112	5.69061	
113	5.64606	
114	5.68024	
115	5.61218	
116	5.61127	
117	5.69427	
118	5.64575	
119	5.68665	
120	5.62622	
121	5.60303	
122	5.67841	
123	5.64972	
124	5.6955	
125	5.61157	
126	5.59998	
127	5.71014	
128	5.64911	
129	5.67627	
130	5.62073	
131	5.60974	
132	5.67383	
133	5.64514	
134	5.70923	
135	5.61951	
136	5.59998	
137	5.6839	
138	5.64758	
139	5.67993	
140	5.61646	
141	5.61005	
142	5.69885	
143	5.64209	
144	5.6897	
145	5.61859	
146	5.60486	
147	5.67719	
148	5.65155	
149	5.69885	
150	5.61707	
151	5.60516	
152	5.71198	
153	5.64819	
154	5.67322	
155	5.6189	
156	5.60913	
157	5.67383	
158	5.64117	
159	5.7074	
160	5.61676	
161	5.59845	
162	5.6897	
163	5.64941	
164	5.67841	
165	5.61554	
166	5.61188	
167	5.70953	
168	5.63965	
169	5.6839	
170	5.62469	
171	5.60516	
172	5.67474	
173	5.64972	
174	5.69946	
175	5.61127	
176	5.60303	
177	5.70709	
178	5.64514	
179	5.67169	
180	5.62225	
181	5.60974	
182	5.67841	
183	5.64056	
184	5.71198	
185	5.62653	
186	5.60059	
187	5.68237	
188	5.6485	
189	5.68726	
190	5.61188	
191	5.61096	
192	5.70312	
193	5.64148	
194	5.68481	
195	5.62225	
196	5.60547	
197	5.67627	
198	5.64972	
199	5.7016	
200	5.61523	
201	5.60333	
202	5.72388	
203	5.64941	
204	5.67719	
205	5.61676	
206	5.61035	
207	5.68207	
208	5.64209	
209	5.70892	
210	5.6189	
211	5.59906	
212	5.68848	
213	5.64789	
214	5.69031	
215	5.61554	
216	5.61432	
217	5.70251	
218	5.64026	
219	5.68024	
220	5.62836	
221	5.60394	
222	5.66772	
223	5.64758	
224	5.69946	
225	5.60303	
226	5.60059	
227	5.71075	
228	5.64606	
