Scan	  Chan 1	

1	-4.55261	
2	-4.55444	
3	-4.56482	
4	-4.54376	
5	-4.55414	
6	-4.57214	
7	-4.55963	
8	-4.5578	
9	-4.55017	
10	-4.5639	
11	-4.55017	
12	-4.55078	
13	-4.57092	
14	-4.53674	
15	-4.54407	
16	-4.54529	
17	-4.55841	
18	-4.55261	
19	-4.56299	
20	-4.56757	
21	-4.56207	
22	-4.54956	
23	-4.56024	
24	-4.56055	
25	-4.55627	
26	-4.55414	
27	-4.56696	
28	-4.56482	
29	-4.55322	
30	-4.53705	
31	-4.5755	
32	-4.5636	
33	-4.54315	
34	-4.54254	
35	-4.57306	
36	-4.55444	
37	-4.56573	
38	-4.57947	
39	-4.56696	
40	-4.55383	
41	-4.55719	
42	-4.55688	
43	-4.55505	
44	-4.5517	
45	-4.57153	
46	-4.56665	
47	-4.54498	
48	-4.55261	
49	-4.54681	
50	-4.55505	
51	-4.56787	
52	-4.57031	
53	-4.55872	
54	-4.55902	
55	-4.55902	
56	-4.56299	
57	-4.55505	
58	-4.54926	
59	-4.55353	
60	-4.57367	
61	-4.55811	
62	-4.55933	
63	-4.56726	
64	-4.55505	
65	-4.54742	
66	-4.55017	
67	-4.55688	
68	-4.54803	
69	-4.55719	
70	-4.5697	
71	-4.54529	
72	-4.54956	
73	-4.55017	
74	-4.55078	
75	-4.56268	
76	-4.56451	
77	-4.55017	
78	-4.55811	
79	-4.56512	
80	-4.5575	
81	-4.55048	
82	-4.55383	
83	-4.53827	
84	-4.55383	
85	-4.5578	
86	-4.56238	
87	-4.5462	
88	-4.56879	
89	-4.552	
90	-4.5401	
91	-4.55658	
92	-4.56116	
93	-4.54346	
94	-4.5575	
95	-4.56726	
96	-4.5639	
97	-4.54315	
98	-4.54803	
99	-4.54102	
100	-4.55109	
101	-4.54895	
102	-4.55444	
103	-4.5517	
104	-4.54956	
105	-4.5578	
106	-4.55383	
107	-4.55841	
108	-4.54926	
109	-4.55902	
110	-4.56787	
111	-4.54926	
112	-4.56268	
113	-4.57642	
114	-4.55719	
115	-4.53491	
116	-4.55811	
117	-4.56543	
118	-4.55353	
119	-4.56177	
120	-4.57489	
121	-4.54956	
122	-4.55109	
123	-4.54376	
124	-4.55872	
125	-4.55292	
126	-4.55322	
127	-4.56726	
128	-4.56696	
129	-4.55078	
130	-4.55261	
131	-4.55078	
132	-4.55444	
133	-4.55017	
134	-4.54742	
135	-4.55536	
136	-4.55811	
137	-4.55078	
138	-4.55658	
139	-4.54224	
140	-4.53339	
141	-4.54803	
142	-4.56543	
143	-4.54468	
144	-4.54742	
145	-4.56635	
146	-4.56268	
147	-4.54041	
148	-4.54559	
149	-4.5578	
150	-4.54773	
151	-4.55353	
152	-4.55322	
153	-4.55048	
154	-4.5517	
155	-4.55811	
156	-4.56543	
157	-4.56238	
158	-4.54803	
159	-4.55261	
160	-4.55322	
161	-4.5517	
162	-4.55109	
163	-4.56177	
164	-4.552	
165	-4.54102	
166	-4.55383	
167	-4.55902	
168	-4.55048	
169	-4.55902	
170	-4.56207	
171	-4.56238	
172	-4.5401	
173	-4.55292	
174	-4.54773	
175	-4.5575	
176	-4.55902	
177	-4.56268	
178	-4.55414	
179	-4.54742	
180	-4.54987	
181	-4.55109	
182	-4.5517	
183	-4.54132	
184	-4.55109	
185	-4.5575	
186	-4.53796	
187	-4.55109	
188	-4.57062	
189	-4.53979	
190	-4.54468	
191	-4.55444	
192	-4.55811	
193	-4.54468	
194	-4.55322	
195	-4.55902	
196	-4.55414	
197	-4.54834	
198	-4.55292	
199	-4.55322	
200	-4.5575	
201	-4.55933	
202	-4.5575	
203	-4.56024	
204	-4.55505	
205	-4.55353	
206	-4.5697	
207	-4.55261	
