Scan	  Chan 1	

1	-5.09247	
2	-5.12268	
3	-5.49408	
4	-5.29968	
5	-5.1181	
6	-5.27313	
7	-5.08606	
8	-4.99023	
9	-5.50293	
10	-5.23041	
11	-5.40924	
12	-4.79065	
13	-5.33295	
14	-5.13306	
15	-4.95209	
16	-4.79431	
17	-5.35889	
18	-4.86542	
19	-4.97406	
20	-5.27618	
21	-5.13367	
22	-5.19379	
23	-4.76532	
24	-4.92462	
25	-5.75348	
26	-5.20325	
27	-5.53223	
28	-5.37872	
29	-5.25421	
30	-5.19714	
31	-4.93011	
32	-5.31281	
33	-5.0061	
34	-5.35675	
35	-5.13397	
36	-5.2121	
37	-5.12543	
38	-5.40863	
39	-5.3064	
40	-5.15106	
41	-5.05493	
42	-5.20996	
43	-5.33997	
44	-5.44617	
45	-5.16296	
46	-4.94019	
47	-5.28992	
48	-4.92676	
49	-5.07935	
50	-5.56061	
51	-5.37537	
52	-5.11322	
53	-5.38879	
54	-4.99817	
55	-5.54688	
56	-4.66522	
57	-5.39856	
58	-5.13519	
59	-5.65765	
60	-5.37415	
61	-5.51666	
62	-5.42267	
63	-5.39612	
64	-4.98413	
65	-5.08148	
66	-5.2829	
67	-5.17242	
68	-5.224	
69	-4.96216	
70	-5.02441	
71	-5.10162	
72	-5.11383	
73	-4.92096	
74	-5.44006	
75	-5.02869	
76	-5.224	
77	-5.47394	
78	-5.39337	
79	-4.83826	
80	-5.32104	
81	-5.70892	
82	-5.52643	
83	-5.15442	
84	-5.14557	
85	-5.29846	
86	-5.19073	
87	-5.46448	
88	-5.15564	
89	-5.38025	
90	-5.31189	
91	-5.33142	
92	-5.34088	
93	-5.16541	
94	-5.59998	
95	-5.45471	
96	-5.1355	
97	-5.04608	
98	-5.18005	
99	-5.26733	
100	-4.95483	
101	-5.19165	
102	-5.03326	
103	-5.16205	
104	-5.39246	
105	-5.17151	
106	-5.2533	
107	-5.54535	
108	-5.08728	
109	-5.14313	
110	-4.79248	
111	-5.10864	
112	-5.41656	
113	-5.55328	
114	-5.07965	
115	-5.45166	
116	-4.95667	
117	-5.73761	
118	-5.02319	
119	-5.60333	
120	-5.4303	
121	-5.40619	
122	-5.07233	
123	-5.03632	
124	-5.40283	
125	-5.52643	
126	-5.41077	
127	-5.34882	
128	-5.6604	
129	-5.23468	
130	-4.83276	
131	-5.20996	
132	-4.93256	
133	-5.1123	
134	-5.44037	
135	-5.06683	
136	-5.4306	
137	-5.53314	
138	-5.35095	
139	-5.34088	
140	-5.23499	
141	-5.72266	
142	-5.32043	
143	-5.38696	
144	-5.11414	
145	-5.38391	
146	-4.91119	
147	-5.10498	
148	-4.93042	
149	-5.6662	
150	-5.00732	
151	-5.22217	
152	-5.466	
153	-5.04913	
154	-5.20203	
155	-5.0177	
156	-5.03082	
157	-5.06714	
158	-4.81201	
159	-5.5545	
160	-5.23956	
161	-5.52094	
162	-5.13123	
163	-5.12238	
164	-5.17883	
165	-5.33417	
166	-4.81659	
167	-5.23041	
168	-5.46082	
169	-5.2063	
170	-5.08514	
171	-5.24292	
172	-5.34119	
173	-5.12512	
174	-4.91333	
175	-5.30914	
176	-5.5304	
177	-5.11353	
178	-4.98047	
179	-5.69366	
180	-5.19409	
181	-5.13306	
182	-4.98322	
183	-5.35675	
184	-5.46173	
185	-5.12878	
186	-4.89746	
187	-5.03479	
188	-4.82483	
189	-5.23254	
190	-4.92371	
191	-4.84894	
192	-5.24353	
193	-5.72144	
194	-5.33417	
195	-4.99939	
196	-5.11383	
197	-5.67535	
198	-5.40436	
199	-5.38513	
200	-5.38879	
201	-5.51941	
202	-5.13	
203	-5.58594	
204	-5.36102	
205	-5.13306	
206	-5.33081	
207	-5.01465	
208	-4.94629	
209	-5.43365	
210	-5.10529	
211	-5.40863	
212	-5.64911	
213	-5.26733	
214	-5.19836	
215	-5.13245	
216	-5.59967	
217	-5.79773	
218	-5.32867	
219	-5.00122	
220	-5.39307	
221	-5.05127	
222	-5.43365	
223	-5.70068	
224	-4.98718	
225	-5.0351	
226	-5.81116	
227	-5.32349	
228	-4.95117	
229	-5.31464	
230	-5.23926	
231	-5.0296	
232	-5.33142	
233	-5.45349	
234	-5.81543	
235	-5.64697	
236	-5.04517	
237	-5.11414	
238	-5.37537	
239	-5.04974	
240	-5.07874	
241	-5.32867	
242	-5.24902	
243	-5.63477	
244	-5.54993	
245	-5.14862	
246	-5.48248	
247	-5.48279	
248	-5.37964	
249	-4.90906	
250	-5.61432	
251	-5.08789	
252	-5.18585	
253	-5.54474	
254	-4.88708	
255	-5.49561	
256	-5.19379	
257	-5.07812	
258	-5.06897	
259	-5.41351	
260	-5.19012	
261	-5.45013	
262	-5.28564	
263	-5.46997	
264	-5.06622	
265	-5.71869	
266	-5.05707	
267	-5.51361	
268	-5.17365	
269	-5.13977	
270	-5.21332	
271	-5.31799	
272	-5.22461	
273	-5.22278	
274	-5.16754	
275	-5.06134	
276	-5.1886	
277	-5.2951	
278	-5.06439	
279	-5.3598	
280	-4.94263	
281	-5.00824	
282	-4.94171	
283	-5.33356	
284	-5.48981	
285	-5.19287	
286	-5.72144	
287	-5.13367	
288	-5.14954	
289	-5.24017	
290	-5.36438	
291	-5.46295	
292	-5.61218	
293	-5.23651	
294	-5.31921	
295	-5.0177	
296	-4.81995	
297	-5.29846	
298	-5.34058	
299	-5.41138	
300	-5.20294	
301	-4.89685	
302	-5.38513	
303	-5.69672	
304	-5.07568	
305	-5.35004	
306	-5.25574	
307	-5.12665	
308	-4.96399	
309	-5.15198	
310	-4.78516	
311	-5.06287	
312	-5.43427	
313	-5.06714	
314	-5.06683	
315	-4.92249	
316	-5.16327	
317	-5.22064	
318	-5.58899	
319	-4.97284	
320	-4.9176	
321	-5.85388	
322	-4.52942	
323	-5.08667	
324	-4.99084	
325	-5.39246	
326	-5.23468	
327	-5.29694	
328	-5.04547	
329	-5.04669	
330	-5.44373	
331	-5.24109	
332	-5.41351	
333	-5.16113	
334	-5.22858	
335	-5.21912	
336	-5.53955	
337	-5.33142	
338	-5.26672	
339	-5.23621	
340	-5.51941	
341	-5.38147	
342	-4.95728	
343	-4.79614	
344	-5.07111	
