Scan	  Chan 1	

1	-4.4101	
2	-4.41864	
3	-4.42322	
4	-4.43054	
5	-4.41193	
6	-4.43115	
7	-4.4339	
8	-4.42352	
9	-4.43787	
10	-4.43542	
11	-4.41895	
12	-4.42291	
13	-4.42352	
14	-4.42535	
15	-4.43726	
16	-4.41711	
17	-4.42047	
18	-4.43726	
19	-4.42993	
20	-4.41742	
21	-4.4339	
22	-4.41864	
23	-4.43024	
24	-4.43176	
25	-4.4577	
26	-4.42902	
27	-4.40552	
28	-4.43176	
29	-4.43024	
30	-4.4223	
31	-4.41437	
32	-4.43878	
33	-4.43024	
34	-4.41559	
35	-4.42413	
36	-4.43085	
37	-4.41742	
38	-4.41345	
39	-4.43207	
40	-4.4281	
41	-4.42169	
42	-4.42413	
43	-4.42108	
44	-4.42657	
45	-4.41498	
46	-4.42932	
47	-4.43512	
48	-4.4165	
49	-4.42139	
50	-4.45068	
51	-4.43054	
52	-4.4278	
53	-4.43146	
54	-4.43451	
55	-4.42383	
56	-4.42474	
57	-4.44214	
58	-4.4223	
59	-4.4342	
60	-4.42322	
61	-4.43665	
62	-4.42749	
63	-4.42261	
64	-4.42932	
65	-4.43939	
66	-4.42352	
67	-4.42627	
68	-4.42108	
69	-4.4281	
70	-4.42474	
71	-4.43451	
72	-4.44	
73	-4.42169	
74	-4.42719	
75	-4.42749	
76	-4.41315	
77	-4.4104	
78	-4.4339	
79	-4.42749	
80	-4.42535	
81	-4.41528	
82	-4.44489	
83	-4.422	
84	-4.4281	
85	-4.41376	
86	-4.42841	
87	-4.42352	
88	-4.43085	
89	-4.43787	
90	-4.44458	
91	-4.43573	
92	-4.42993	
93	-4.42261	
94	-4.42322	
95	-4.40491	
96	-4.4339	
97	-4.44885	
98	-4.41833	
99	-4.42596	
100	-4.44519	
101	-4.43115	
102	-4.40979	
103	-4.42291	
104	-4.42841	
105	-4.43115	
106	-4.43359	
107	-4.42841	
108	-4.42841	
109	-4.42047	
110	-4.422	
111	-4.42505	
112	-4.4342	
113	-4.42169	
114	-4.42627	
115	-4.44702	
116	-4.41956	
117	-4.4342	
118	-4.43756	
119	-4.4339	
120	-4.42261	
121	-4.42474	
122	-4.44275	
123	-4.4165	
124	-4.43237	
125	-4.44427	
126	-4.44153	
127	-4.41742	
128	-4.42413	
129	-4.4342	
